title	type	url_slug	venue	date	location	talk_url	description
DGRh Genetics	Oral Presentation by Rachel Knevel	dgrh-genetics	DGRh 2018	2018-09-20	Mannheim, Germany		A presentation by Rachel Knevel about pharmacogenetics in rheumatic diseases
BioSB 2019 ICD Clustering	Oral Presentation by Marc Maurits	biosb-2019-icd-clustering	BioSB 2019	2019-04-02	Lunteren, The Netherlands		Oral presentation of the work performed by MP Maurits on clustering of patients using ICD codes
EULAR 2019 ICD Clustering	Abstract by Marc Maurits	eular-2019-icd-clustering	EULAR 2019	2019-06-12	Madrid, Spain	https://scientific.sparx-ip.net/archiveeular/?c=a&item=2019AB1282	Accepted abstract of the work performed by MP Maurits on the clustering of patients using ICD codes
EULAR 2019 Text Mining Dx	Poster Tour by Tjardo Maarseveen	eular-2019-text-mining-dx	EULAR 2019	2019-06-12	Madrid, Spain	http://scientific.sparx-ip.net/archiveeular/?c=a&item=2019SAT0590	Poster tour presentation of the work performed by TD Maarseveen on the extraction of RA diagnoses from EHR free written text
EULAR 2019 Text Mining Rx	Poster Tour by Tjardo Maarseveen	eular-2019-text-mining-rx	EULAR 2019	2019-06-12	Madrid, Spain	http://scientific.sparx-ip.net/archiveeular/?c=a&item=2019SAT0589	Poster tour presentation of the work performed by TD Maarseveen on the extraction of medication from EHR free written text
AMP-IMI-IFRA EHR Genetics	Oral Presentation by Rachel Knevel	amp-imi-ifra-ehr-genetics	AMP-IMI-IFRA 2019	2019-09-26	Wachington, USA		Oral presentation by Rachel Knevel about integrating electronic health record data and genetics to improve understanding of rheumatic diseases
EULAR 2020 ICD Clustering	Poster by Marc Maurits	eular-2020-icd-clustering	EULAR 2020	2020-06-03	Online	http://scientific.sparx-ip.net/archiveeular/?c=a&item=2020FRI0585	Poster presentation of the work performed by MP Maurits on clustering of patients using ICD codes
EULAR 2020 HvsM	Abstract by Tjardo Maarseveen	eular-2020-hvsm	EULAR 2020	2020-06-03	Online	http://scientific.sparx-ip.net/archiveeular/?c=a&item=2020AB1114	Accepted abstract of the work performed by TD Maarseveen and MP Maurits on the differences between RA populations extracted by ML and chart review
EULAR 2021 SSc Risk Model	Poster by Marc Maurits	eular-2021-ssc-risk-model	EULAR 2021	2021-06-02	Online	http://scientific.sparx-ip.net/archiveeular/?c=a&item=2021POS0843	Poster presentation of the work performed by MP Maurits on the SSc model predicting disease progression risk
EULAR 2021 CSA Genetics	Poster by Marc Maurits	eular-2021-csa-genetics	EULAR 2021	2021-06-02	Online	http://scientific.sparx-ip.net/archiveeular/?c=a&item=2021POS0356	Poster presentation of the work performed by MP Maurits on the role of RA genetics in CSA
EULAR 2021 Rheumatic	Oral Presentation by Rachel Knevel	eular-2021-rheumatic	EULAR 2021	2021-06-02	Online	http://scientific.sparx-ip.net/archiveeular/?c=a&item=2021OP0147	Oral presentation of the work performed by R Knevel on the Rheumatic questionnaire
